,Date,Symbol
182,2013-07-01,INDIACEM
183,2013-07-01,IDFC
184,2013-07-01,JISLJALEQS
185,2013-07-01,NHPC
186,2013-07-01,ORIENTBANK
187,2013-07-01,SYNDIBANK
188,2013-07-01,KTKBANK
189,2013-07-01,ALBK
190,2013-07-01,TATACOMM
191,2013-07-01,RPOWER
192,2013-07-01,HINDZINC
193,2013-07-01,RELINFRA
194,2013-07-01,RELCAPITAL
195,2013-07-01,ARVIND
196,2013-07-01,OFSS
197,2013-07-01,IDBI
198,2013-07-01,BANKINDIA
199,2013-07-01,UNIONBANK
200,2013-07-01,HEXAWARE
201,2013-07-01,DISHTV
202,2013-07-01,TATAMTRDVR
203,2013-07-01,TATACONSUM
204,2013-07-01,CESC
205,2013-07-01,YESBANK
206,2013-07-01,ADANIPOWER
207,2013-07-01,CENTURYTEX
208,2013-07-01,SRTRANSFIN
209,2013-07-01,HDFC
210,2013-07-01,ZEEL
211,2013-07-01,TCS
212,2013-07-01,UPL
213,2013-07-01,SIEMENS
214,2013-07-01,SBIN
215,2013-07-01,SAIL
216,2013-07-01,VOLTAS
217,2013-07-01,VEDL
218,2013-07-01,RECLTD
219,2013-07-01,RELIANCE
220,2013-07-01,TATAMOTORS
221,2013-07-01,TITAN
222,2013-07-01,TATAPOWER
223,2013-07-01,TATASTEEL
224,2013-07-01,TECHM
225,2013-07-01,ULTRACEMCO
226,2013-07-01,SUNPHARMA
227,2013-07-01,SUNTV
228,2013-07-01,TATACHEM
229,2013-07-01,WIPRO
230,2013-07-01,CIPLA
231,2013-07-01,COALINDIA
232,2013-07-01,COLPAL
233,2013-07-01,DABUR
234,2013-07-01,DIVISLAB
235,2013-07-01,DLF
236,2013-07-01,CANBK
237,2013-07-01,DRREDDY
238,2013-07-01,EXIDEIND
239,2013-07-01,FEDERALBNK
240,2013-07-01,GAIL
241,2013-07-01,GMRINFRA
242,2013-07-01,GRASIM
243,2013-07-01,HAVELLS
244,2013-07-01,HCLTECH
245,2013-07-01,ACC
246,2013-07-01,ADANIENT
247,2013-07-01,ADANIPORTS
248,2013-07-01,AMBUJACEM
249,2013-07-01,APOLLOTYRE
250,2013-07-01,ASHOKLEY
251,2013-07-01,ASIANPAINT
252,2013-07-01,AUROPHARMA
