,Stock,Start Date,End Date,Accord Code,Sr.No.,Company Name,CD_BSE Code,CD_Bse Scrip Name,CD_NSE Symbol,CD_ISIN No
247,BPCL,29-12-2006,31-12-2024,100547,484,Bharat Petroleum Corporation Ltd.,500547.0,BHARAT PET.,BPCL,INE029A01011
248,BAJAJ_AUTO,26-05-2008,31-12-2024,200132,382,Bajaj Auto Ltd.,532977.0,BAJAJ AUTO,BAJAJ-AUTO,INE917I01010
249,BAJFINANCE,29-05-2015,31-12-2024,100034,385,Bajaj Finance Ltd.,500034.0,BAJFINANCE,BAJFINANCE,INE296A01024
250,BALKRISIND,28-04-2017,31-12-2024,102355,404,Balkrishna Industries Ltd.,502355.0,BALKRISH IND,BALKRISIND,INE787D01026
251,BALRAMCHIN,31-12-2021,31-12-2024,100038,408,Balrampur Chini Mills Ltd.,500038.0,BALRAM.CHINI,BALRAMCHIN,INE119A01028
252,BANKBARODA,29-12-2006,31-12-2024,132134,416,Bank Of Baroda,532134.0,BANKBARODA,BANKBARODA,INE028A01039
253,BATAINDIA,29-10-2010,31-12-2024,100043,434,Bata India Ltd.,500043.0,BATA INDIA,BATAINDIA,INE176A01028
254,BEL,29-05-2015,31-12-2024,100049,478,Bharat Electronics Ltd.,500049.0,BHARAT ELECT,BEL,INE263A01024
255,BERGEPAINT,28-04-2017,31-12-2024,109480,450,Berger Paints India Ltd.,509480.0,BERGE PAINT,BERGEPAINT,INE463A01038
256,BHARATFORG,29-12-2006,31-12-2024,100493,480,Bharat Forge Ltd.,500493.0,BHARAT FORGE,BHARATFORG,INE465A01025
257,BHARTIARTL,29-12-2006,31-12-2024,132454,490,Bharti Airtel Ltd.,532454.0,BHARTI ARTL,BHARTIARTL,INE397D01024
258,BHEL,29-12-2006,31-12-2024,100103,482,Bharat Heavy Electricals Ltd.,500103.0,BHEL,BHEL,INE257A01026
259,BIOCON,05-09-2007,31-12-2024,132523,504,Biocon Ltd.,532523.0,BIOCON LTD.,BIOCON,INE376G01013
260,BAJAJFINSV,28-04-2017,31-12-2024,205198,386,Bajaj Finserv Ltd.,532978.0,BAJAJ FINSE,BAJAJFINSV,INE918I01026
261,HDFCBANK,29-12-2006,31-12-2024,100180,1322,HDFC Bank Ltd.,500180.0,HDFC BANK,HDFCBANK,INE040A01034
262,HEROMOTOCO,29-12-2006,31-12-2024,100182,1356,Hero MotoCorp Ltd.,500182.0,HEROMOTOCO,HEROMOTOCO,INE158A01026
263,HINDALCO,27-08-2007,31-12-2024,100440,1376,Hindalco Industries Ltd.,500440.0,HINDALCO,HINDALCO,INE038A01020
264,UNITDSPR,26-02-2016,31-12-2024,132432,3777,United Spirits Ltd.,532432.0,UNITDSPR,UNITDSPR,INE854D01024
265,MCX,27-08-2021,31-12-2024,208766,2271,Multi Commodity Exchange Of India Ltd.,534091.0,MCX LTD,MCX,INE745G01035
266,MFSL,31-03-2017,31-12-2024,100271,2111,Max Financial Services Ltd.,500271.0,MFSL,MFSL,INE180A01020
267,MGL,28-04-2017,31-12-2024,208661,2032,Mahanagar Gas Ltd.,539957.0,MGL,MGL,INE002S01010
268,MOTHERSON,10-09-2014,31-12-2024,117334,3086,Samvardhana Motherson International Ltd.,517334.0,MOTHERSON,MOTHERSON,INE775A01035
269,MPHASIS,26-02-2021,31-12-2024,126299,2249,Mphasis Ltd.,526299.0,MPHASIS LTD,MPHASIS,INE356A01018
270,MRF,29-10-2010,31-12-2024,100290,2255,MRF Ltd.,500290.0,MRF LTD.,MRF,INE883A01011
271,MUTHOOTFIN,31-03-2017,31-12-2024,221790,2281,Muthoot Finance Ltd.,533398.0,MUTHOOT FIN,MUTHOOTFIN,INE414G01012
272,NATIONALUM,26-05-2017,31-12-2024,132234,2320,National Aluminium Company Ltd.,532234.0,NAT.ALUM,NATIONALUM,INE139A01034
273,NAUKRI,28-03-2020,31-12-2024,132777,1578,Info Edge (India) Ltd.,532777.0,INFO EDGE,NAUKRI,INE663F01024
274,NESTLEIND,28-04-2017,31-12-2024,100790,2356,Nestle India Ltd.,500790.0,NESTLE (I),NESTLEIND,INE239A01024
275,MARUTI,29-12-2006,31-12-2024,132500,2099,Maruti Suzuki India Ltd.,532500.0,MARUTISUZUK,MARUTI,INE585B01010
276,COFORGE,01-07-2016,31-12-2024,132541,692,Coforge Ltd.,532541.0,COFORGE,COFORGE,INE591G01017
277,NTPC,29-12-2006,31-12-2024,132555,2554,NTPC Ltd.,532555.0,NTPC LTD,NTPC,INE733E01010
278,OFSS,27-08-2021,31-12-2024,132466,2593,Oracle Financial Services Software Ltd.,532466.0,ORACLE FIN,OFSS,INE881D01027
279,ONGC,29-12-2006,31-12-2024,100312,2569,Oil & Natural Gas Corporation Ltd.,500312.0,ONGC CORPN,ONGC,INE213A01029
280,PAGEIND,29-05-2015,31-12-2024,132827,2636,Page Industries Ltd.,532827.0,PAGE INDUSTR,PAGEIND,INE761H01022
281,PEL,31-03-2017,31-12-2024,100302,2741,Piramal Enterprises Ltd.,500302.0,PEL,PEL,INE140A01024
282,PETRONET,11-05-2007,31-12-2024,132522,2720,Petronet LNG Ltd.,532522.0,PETRONET LNG,PETRONET,INE347G01014
283,PFC,22-02-2007,31-12-2024,132810,2778,Power Finance Corporation Ltd.,532810.0,POWER FINAN,PFC,INE134E01011
284,PIDILITIND,29-05-2015,31-12-2024,100331,2734,Pidilite Industries Ltd.,500331.0,PIDILITE,PIDILITIND,INE318A01026
285,PNB,29-12-2006,31-12-2024,132461,2850,Punjab National Bank,532461.0,PUNJAB NATIO,PNB,INE160A01022
286,POWERGRID,04-10-2007,31-12-2024,132898,2779,Power Grid Corporation Of India Ltd.,532898.0,POWER GRID,POWERGRID,INE752E01010
287,PVRINOX,31-03-2017,31-12-2024,132689,2859,PVR Inox Ltd.,532689.0,PVRINOX,PVRINOX,INE191H01014
288,NMDC,01-10-2010,31-12-2024,126371,2533,NMDC Ltd.,526371.0,NMDC LTD,NMDC,INE584A01023
289,MARICO,28-09-2015,31-12-2024,131642,2093,Marico Ltd.,531642.0,MARICOLTD,MARICO,INE196A01026
290,SHRIRAMFIN,20-12-2022,31-12-2024,111218,3256,Shriram Finance Ltd.,511218.0,SHRIRAM TRAN,SHRIRAMFIN,INE721A01013
291,M_MFIN,27-12-2013,31-12-2024,132720,2040,Mahindra & Mahindra Financial Services Ltd.,532720.0,M&M FINANSER,M&MFIN,INE774D01024
292,HINDPETRO,29-12-2006,31-12-2024,100104,1394,Hindustan Petroleum Corporation Ltd.,500104.0,HIND.PETRO,HINDPETRO,INE094A01015
293,HINDUNILVR,19-07-2007,31-12-2024,100696,1396,Hindustan Unilever Ltd.,500696.0,HIND UNI LT,HINDUNILVR,INE030A01027
294,ICICIBANK,29-12-2006,31-12-2024,132174,1444,ICICI Bank Ltd.,532174.0,ICICI BANK,ICICIBANK,INE090A01021
295,ICICIPRULI,30-06-2017,31-12-2024,210258,1452,ICICI Prudential Life Insurance Company Ltd.,540133.0,ICICIPRULI,ICICIPRULI,INE726G01019
296,IDEA,08-03-2007,31-12-2024,132822,3941,Vodafone Idea Ltd.,532822.0,IDEA,IDEA,INE669E01016
297,IDFC,31-12-2021,31-12-2024,132659,1486,IDFC Ltd. - (Amalgamated),532659.0,IDFC,IDFC,INE043D01016
298,IDFCFIRSTB,30-09-2016,31-12-2024,278580,1485,IDFC First Bank Ltd.,539437.0,IDFCFIRSTB,IDFCFIRSTB,INE092T01019
299,IGL,29-10-2010,31-12-2024,132514,1565,Indraprastha Gas Ltd.,532514.0,INDRA GAS,IGL,INE203G01027
300,INDHOTEL,22-06-2021,31-12-2024,100850,3629,The Indian Hotels Company Ltd.,500850.0,INDIAN HOTEL,INDHOTEL,INE053A01029
301,INDIACEM,01-10-2021,31-12-2024,130005,3628,The India Cements Ltd.,530005.0,INDIA CEM.,INDIACEM,INE383A01012
302,INDIGO,31-03-2017,31-12-2024,222055,1613,Interglobe Aviation Ltd.,539448.0,INDIGO,INDIGO,INE646L01027
303,INDUSINDBK,29-10-2010,31-12-2024,132187,1572,IndusInd Bank Ltd.,532187.0,INDUSIND BNK,INDUSINDBK,INE095A01012
304,INDUSTOWER,18-12-2020,31-12-2024,209967,1571,Indus Towers Ltd.,534816.0,INDUSTOWER,INDUSTOWER,INE121J01017
305,INFY,29-12-2006,31-12-2024,100209,1584,Infosys Ltd.,500209.0,INFOSYS LTD,INFY,INE009A01021
306,IOC,29-12-2006,31-12-2024,130965,1537,Indian Oil Corporation Ltd.,530965.0,INDIAN OIL,IOC,INE242A01010
307,ITC,29-12-2006,31-12-2024,100875,1644,ITC Ltd.,500875.0,ITC LTD.,ITC,INE154A01025
308,JINDALSTEL,29-12-2006,31-12-2024,132286,1712,Jindal Steel & Power Ltd.,532286.0,JINDAL STE,JINDALSTEL,INE749A01030
309,JSWSTEEL,29-12-2006,31-12-2024,100228,1739,JSW Steel Ltd.,500228.0,JSWSL,JSWSTEEL,INE019A01038
310,JUBLFOOD,18-07-2011,31-12-2024,215367,1742,Jubilant FoodWorks Ltd.,533155.0,JUBL FOOD,JUBLFOOD,INE797F01020
311,KOTAKBANK,29-12-2006,31-12-2024,100247,1868,Kotak Mahindra Bank Ltd.,500247.0,KOTAK MAH.BK,KOTAKBANK,INE237A01028
312,BSOFT,29-10-2021,31-12-2024,132400,516,Birlasoft Ltd.,532400.0,BSOFT,BSOFT,INE836A01035
313,LICHSGFIN,29-12-2006,31-12-2024,100253,1965,LIC Housing Finance Ltd.,500253.0,LIC HOUS.FIN,LICHSGFIN,INE115A01026
314,LT,29-12-2006,31-12-2024,100510,1944,Larsen & Toubro Ltd.,500510.0,LARSEN & TOU,LT,INE018A01030
315,LUPIN,29-12-2006,31-12-2024,100257,2002,Lupin Ltd.,500257.0,LUPIN LTD.,LUPIN,INE326A01037
316,M_M,29-12-2006,31-12-2024,100520,2041,Mahindra & Mahindra Ltd.,500520.0,MAH & MAH,M&M,INE101A01026
317,RBLBANK,26-05-2017,31-12-2024,209068,2949,RBL Bank Ltd.,540065.0,RBLBANK,RBLBANK,INE976G01028
318,LTF,30-05-2024,31-12-2024,220350,1924,L&T Finance Ltd.,533519.0,LTF,LTF,INE498L01015
