,Stock,Start Date,End Date,Accord Code,Sr.No.,Company Name,CD_BSE Code,CD_Bse Scrip Name,CD_NSE Symbol,CD_ISIN No
103,TATAMTRDVR,29-10-2010,30-01-2020,217889,3565,Tata Motors Ltd. - DVR Ordinary,570001.0,TATAMTRTDVR,TATAMTRDVR,IN9155A01020
104,CASTROLIND,29-05-2015,30-01-2020,100870,609,Castrol India Ltd.,500870.0,CASTROL,CASTROLIND,INE172A01027
105,NBCC,28-04-2017,30-01-2020,208801,2335,NBCC (India) Ltd.,534309.0,NBCC,NBCC,INE095N01031
106,TATACONSUM,29-12-2006,26-02-2020,100800,3557,Tata Consumer Products Ltd.,500800.0,TATACONSUM,TATACONSUM,INE192A01025
107,OIL,29-05-2015,30-04-2020,200091,2571,Oil India Ltd.,533106.0,OIL INDIA,OIL,INE274J01014
108,CESC,29-12-2006,28-05-2020,100084,635,CESC Ltd.,500084.0,CESC LTD.,CESC,INE486A01021
109,YESBANK,05-09-2007,28-05-2020,132648,4023,Yes Bank Ltd.,532648.0,YES BANK,YESBANK,INE528G01035
110,ADANIPOWER,30-07-2010,25-06-2020,209867,55,Adani Power Ltd.,533096.0,ADANI POWER,ADANIPOWER,INE814H01011
111,JUSTDIAL,13-03-2014,30-07-2020,211531,1752,Just Dial Ltd.,535648.0,JUSTDIAL,JUSTDIAL,INE599M01018
112,NCC,28-09-2015,30-07-2020,100294,2336,NCC Ltd.,500294.0,NCC,NCC,INE868B01028
113,CENTURYTEX,29-12-2006,27-08-2020,100040,69,Aditya Birla Real Estate Ltd.,500040.0,ABREL,ABREL,INE055A01016
114,EQUITAS,31-03-2017,27-08-2020,243712,998,Equitas Holdings Ltd. - (Amalgamated),539844.0,EQUITAS,EQUITAS,INE988K01017
115,UJJIVAN,31-03-2017,27-08-2020,222671,3748,Ujjivan Financial Services Ltd. - (Amalgamated),539874.0,UJJIVAN,UJJIVAN,INE334L01012
116,INDUSTOWER,28-09-2015,17-12-2020,209967,1571,Indus Towers Ltd.,534816.0,INDUSTOWER,INDUSTOWER,INE121J01017
117,CADILAHC,28-09-2015,31-03-2022,132321,4061,Zydus Lifesciences Ltd.,532321.0,ZYDUSLIFE,ZYDUSLIFE,INE010B01027
118,PFIZER,26-02-2021,28-04-2022,100680,2722,Pfizer Ltd.,500680.0,PFIZER LTD.,PFIZER,INE182A01018
119,APLLTD,26-02-2021,30-06-2022,224849,147,Alembic Pharmaceuticals Ltd.,533573.0,ALEM PHARMA,APLLTD,INE901L01018
120,STAR,30-07-2021,30-06-2022,132531,3430,Strides Pharma Science Ltd.,532531.0,STAR,STAR,INE939A01011
121,NBCC,31-12-2021,28-07-2022,208801,2335,NBCC (India) Ltd.,534309.0,NBCC,NBCC,INE095N01031
122,MINDTREE,10-09-2014,22-11-2022,132819,2167,Mindtree Ltd. - (Amalgamated),532819.0,MINDTREE LTD,MINDTREE,INE018I01017
123,GSPL,29-10-2021,24-11-2022,132702,1293,Gujarat State Petronet Ltd.,532702.0,GUJ PETRONET,GSPL,INE246F01010
124,SRTRANSFIN,30-07-2010,20-12-2022,111218,3256,Shriram Finance Ltd.,511218.0,SHRIRAM TRAN,SHRIRAMFIN,INE721A01013
125,AMARAJABAT,29-05-2015,30-12-2022,100008,176,Amara Raja Energy & Mobility Ltd.,500008.0,ARE&M,ARE&M,INE885A01032
126,FSL,29-10-2021,29-03-2023,132809,1072,Firstsource Solutions Ltd.,532809.0,FSL,FSL,INE684F01012
127,TORNTPOWER,30-09-2016,29-03-2023,132779,3681,Torrent Power Ltd.,532779.0,TORNT POWER,TORNTPOWER,INE813H01021
128,HONAUT,31-12-2021,27-04-2023,117174,1420,Honeywell Automation India Ltd.,517174.0,HONEYWELL,HONAUT,INE671A01010
129,WHIRLPOOL,29-10-2021,25-05-2023,100238,3985,Whirlpool Of India Ltd.,500238.0,WHIRLPOOL,WHIRLPOOL,INE716A01013
130,RAIN,31-12-2021,29-06-2023,100339,2892,Rain Industries Ltd.,500339.0,RAIN,RAIN,INE855B01025
131,HDFC,29-12-2006,27-07-2023,100010,1424,Housing Development Finance Corporation Ltd. - (Amalgamated),500010.0,HDFC,HDFC,INE001A01036
132,INTELLECT,28-01-2022,27-07-2023,271581,1610,Intellect Design Arena Ltd.,538835.0,INTELLECT,INTELLECT,INE306R01017
133,IBULHSGFIN,28-11-2014,28-12-2023,220741,3081,Sammaan Capital Ltd.,535789.0,SAMMAANCAP,SAMMAANCAP,INE148I01020
