,Unnamed: 0,Symbol,Start,End,Company Name,Accord Code,Prev Date,Curr Price,Curr Date,Prev Price,Returns,Diff
0,0,UNITDSPR,2012-12-28,2013-01-31,United Spirits Ltd.,132432,2012-12-28,360.88,2013-01-31,379.71,-0.04959047694293009,34 days
1,1,KTKBANK,2012-12-28,2013-01-31,The Karnataka Bank Ltd.,132652,2012-12-28,121.994853477743,2013-01-31,124.105234858087,-0.017004773269694812,34 days
2,2,DENABANK,2012-12-28,2013-01-31,Dena Bank - (Amalgamated),132121,2012-12-28,111.05,2013-01-31,114.9,-0.033507397737162825,34 days
3,3,AUROPHARMA,2012-12-28,2013-01-31,Aurobindo Pharma Ltd.,124804,2012-12-28,93.7,2013-01-31,95.45,-0.018334206390780514,34 days
4,4,MRF,2012-12-28,2013-01-31,MRF Ltd.,100290,2012-12-28,13138.85,2013-01-31,12694.75,0.03498296539908233,34 days
5,5,OFSS,2012-12-28,2013-01-31,Oracle Financial Services Software Ltd.,132466,2012-12-28,3193.55,2013-01-31,3279.85,-0.02631217891062083,34 days
6,6,ASIANPAINT,2012-12-28,2013-01-31,Asian Paints Ltd.,100820,2012-12-28,450.115,2013-01-31,439.47,0.024222358750312836,34 days
7,7,GODREJIND,2012-12-28,2013-01-31,Godrej Industries Ltd.,100164,2012-12-28,304.006794564349,2013-01-31,312.05035971223,-0.02577649695805094,34 days
8,8,ULTRACEMCO,2012-12-28,2013-01-31,Ultratech Cement Ltd.,132538,2012-12-28,1902.55,2013-01-31,1971.75,-0.035095727145936374,34 days
9,9,COLPAL,2012-12-28,2013-01-31,Colgate-Palmolive (India) Ltd.,100830,2012-12-28,675.05,2013-01-31,770.775,-0.1241931821867601,34 days
10,10,HDFCBANK,2012-12-28,2013-01-31,HDFC Bank Ltd.,100180,2012-12-28,321.525,2013-01-31,338.825,-0.05105880616837604,34 days
11,11,PTC,2012-12-28,2013-01-31,PTC India Ltd.,132524,2012-12-28,76.4,2013-01-31,73.3,0.04229195088676683,34 days
12,12,TATACONSUM,2012-12-28,2013-01-31,Tata Consumer Products Ltd.,100800,2012-12-28,149.35,2013-01-31,160.45,-0.06918043004051103,34 days
13,13,TATAMTRDVR,2012-12-28,2013-01-31,Tata Motors Ltd. - DVR Ordinary,217889,2012-12-28,164.727516575243,2013-01-31,170.418013543147,-0.03339140534262402,34 days
14,14,BATAINDIA,2012-12-28,2013-01-31,Bata India Ltd.,100043,2012-12-28,393.65,2013-01-31,432.85,-0.09056255053713767,34 days
15,15,MARUTI,2012-12-28,2013-01-31,Maruti Suzuki India Ltd.,132500,2012-12-28,1581.6,2013-01-31,1500.4,0.05411890162623288,34 days
16,16,LT,2012-12-28,2013-01-31,Larsen & Toubro Ltd.,100510,2012-12-28,685.266666666667,2013-01-31,719.977777777778,-0.04821136454828835,34 days
17,17,SYNDIBANK,2012-12-28,2013-01-31,Syndicate Bank - (Amalgamated),132276,2012-12-28,134.5,2013-01-31,127.95,0.05119187182493159,34 days
18,18,HCLTECH,2012-12-28,2013-01-31,HCL Technologies Ltd.,132281,2012-12-28,172.0,2013-01-31,156.575,0.09851508861567947,34 days
19,19,INDUSINDBK,2012-12-28,2013-01-31,IndusInd Bank Ltd.,132187,2012-12-28,435.8,2013-01-31,415.0,0.05012048192771087,34 days
20,20,TECHM,2012-12-28,2013-01-31,Tech Mahindra Ltd.,132755,2012-12-28,249.7375,2013-01-31,230.1875,0.08493076296497426,34 days
21,21,ICICIBANK,2012-12-28,2013-01-31,ICICI Bank Ltd.,132174,2012-12-28,216.572727272727,2013-01-31,207.554545454545,0.04344969558933127,34 days
22,22,RELCAPITAL,2012-12-28,2013-01-31,Reliance Capital Ltd.,100111,2012-12-28,475.1,2013-01-31,478.3,-0.006690361697679257,34 days
23,23,HAVELLS,2012-12-28,2013-01-31,Havells India Ltd.,117354,2012-12-28,131.66,2013-01-31,127.57,0.03206082934859296,34 days
24,24,TITAN,2012-12-28,2013-01-31,Titan Company Ltd.,100114,2012-12-28,279.35,2013-01-31,281.15,-0.006402276364929592,34 days
25,25,ZEEL,2012-12-28,2013-01-31,Zee Entertainment Enterprises Ltd.,105537,2012-12-28,230.1,2013-01-31,219.85,0.04662269729360928,34 days
