,Unnamed: 0,Symbol,Start,End,Company Name,Accord Code,Prev Date,Curr Price,Curr Date,Prev Price,Returns,Diff
70,70,HDFCBANK,2013-03-01,2013-03-28,HDFC Bank Ltd.,100180,2013-03-01,312.675,2013-03-28,311.25,0.004578313253012085,"27 days, 0:00:00"
71,71,PTC,2013-03-01,2013-03-28,PTC India Ltd.,132524,2013-03-01,59.95,2013-03-28,64.95,-0.07698229407236336,"27 days, 0:00:00"
72,72,TATACONSUM,2013-03-01,2013-03-28,Tata Consumer Products Ltd.,100800,2013-03-01,127.85,2013-03-28,127.95,-0.0007815552950371905,"27 days, 0:00:00"
73,73,TATAMTRDVR,2013-03-01,2013-03-28,Tata Motors Ltd. - DVR Ordinary,217889,2013-03-01,151.169289016932,2013-03-28,158.789606695691,-0.04799002804612264,"27 days, 0:00:00"
74,74,BATAINDIA,2013-03-01,2013-03-28,Bata India Ltd.,100043,2013-03-01,359.175,2013-03-28,378.025,-0.04986442695588907,"27 days, 0:00:00"
75,75,MARUTI,2013-03-01,2013-03-28,Maruti Suzuki India Ltd.,132500,2013-03-01,1281.2,2013-03-28,1424.4,-0.10053355798932886,"27 days, 0:00:00"
76,76,LT,2013-03-01,2013-03-28,Larsen & Toubro Ltd.,100510,2013-03-01,607.2,2013-03-28,622.422222222222,-0.024456424720625074,"27 days, 0:00:00"
77,77,SYNDIBANK,2013-03-01,2013-03-28,Syndicate Bank - (Amalgamated),132276,2013-03-01,109.95,2013-03-28,116.7,-0.05784061696658097,"27 days, 0:00:00"
78,78,HCLTECH,2013-03-01,2013-03-28,HCL Technologies Ltd.,132281,2013-03-01,198.75,2013-03-28,180.6125,0.10042217454495114,"27 days, 0:00:00"
79,79,INDUSINDBK,2013-03-01,2013-03-28,IndusInd Bank Ltd.,132187,2013-03-01,404.7,2013-03-28,400.95,0.00935278713056491,"27 days, 0:00:00"
80,80,TECHM,2013-03-01,2013-03-28,Tech Mahindra Ltd.,132755,2013-03-01,264.875,2013-03-28,275.75,-0.03943789664551224,"27 days, 0:00:00"
81,81,ICICIBANK,2013-03-01,2013-03-28,ICICI Bank Ltd.,132174,2013-03-01,190.036363636364,2013-03-28,192.063636363636,-0.010555213707574172,"27 days, 0:00:00"
