,Symbol,Start,End,Company Name,Accord Code
0,UNITDSPR,2012-12-28,2013-01-31,United Spirits Ltd.,132432
1,KTKBANK,2012-12-28,2013-01-31,The Karnataka Bank Ltd.,132652
2,DENABANK,2012-12-28,2013-01-31,Dena Bank - (Amalgamated),132121
3,AUROPHARMA,2012-12-28,2013-01-31,Aurobindo Pharma Ltd.,124804
4,MRF,2012-12-28,2013-01-31,MRF Ltd.,100290
5,OFSS,2012-12-28,2013-01-31,Oracle Financial Services Software Ltd.,132466
6,ASIANPAINT,2012-12-28,2013-01-31,Asian Paints Ltd.,100820
7,GODREJIND,2012-12-28,2013-01-31,Godrej Industries Ltd.,100164
8,ULTRACEMCO,2012-12-28,2013-01-31,Ultratech Cement Ltd.,132538
9,COLPAL,2012-12-28,2013-01-31,Colgate-Palmolive (India) Ltd.,100830
10,HDFCBANK,2012-12-28,2013-01-31,HDFC Bank Ltd.,100180
11,PTC,2012-12-28,2013-01-31,PTC India Ltd.,132524
12,TATACONSUM,2012-12-28,2013-01-31,Tata Consumer Products Ltd.,100800
13,TATAMTRDVR,2012-12-28,2013-01-31,Tata Motors Ltd. - DVR Ordinary,217889
14,BATAINDIA,2012-12-28,2013-01-31,Bata India Ltd.,100043
15,MARUTI,2012-12-28,2013-01-31,Maruti Suzuki India Ltd.,132500
16,LT,2012-12-28,2013-01-31,Larsen & Toubro Ltd.,100510
17,SYNDIBANK,2012-12-28,2013-01-31,Syndicate Bank - (Amalgamated),132276
18,HCLTECH,2012-12-28,2013-01-31,HCL Technologies Ltd.,132281
19,INDUSINDBK,2012-12-28,2013-01-31,IndusInd Bank Ltd.,132187
20,TECHM,2012-12-28,2013-01-31,Tech Mahindra Ltd.,132755
21,ICICIBANK,2012-12-28,2013-01-31,ICICI Bank Ltd.,132174
22,RELCAPITAL,2012-12-28,2013-01-31,Reliance Capital Ltd.,100111
23,HAVELLS,2012-12-28,2013-01-31,Havells India Ltd.,117354
24,TITAN,2012-12-28,2013-01-31,Titan Company Ltd.,100114
25,ZEEL,2012-12-28,2013-01-31,Zee Entertainment Enterprises Ltd.,105537
26,HDIL,2012-12-28,2013-01-31,Housing Development And Infrastructure Ltd.,132873
27,JUBLFOOD,2012-12-28,2013-01-31,Jubilant FoodWorks Ltd.,215367
28,AXISBANK,2012-12-28,2013-01-31,Axis Bank Ltd.,132215
29,MCLEODRUSS,2012-12-28,2013-01-31,Mcleod Russel India Ltd.,132654
30,UNITDSPR,2013-02-01,2013-02-28,United Spirits Ltd.,132432
31,KTKBANK,2013-02-01,2013-02-28,The Karnataka Bank Ltd.,132652
32,DENABANK,2013-02-01,2013-02-28,Dena Bank - (Amalgamated),132121
33,AUROPHARMA,2013-02-01,2013-02-28,Aurobindo Pharma Ltd.,124804
34,MRF,2013-02-01,2013-02-28,MRF Ltd.,100290
35,OFSS,2013-02-01,2013-02-28,Oracle Financial Services Software Ltd.,132466
36,ASIANPAINT,2013-02-01,2013-02-28,Asian Paints Ltd.,100820
37,GODREJIND,2013-02-01,2013-02-28,Godrej Industries Ltd.,100164
38,ULTRACEMCO,2013-02-01,2013-02-28,Ultratech Cement Ltd.,132538
39,COLPAL,2013-02-01,2013-02-28,Colgate-Palmolive (India) Ltd.,100830
40,HDFCBANK,2013-02-01,2013-02-28,HDFC Bank Ltd.,100180
41,PTC,2013-02-01,2013-02-28,PTC India Ltd.,132524
42,TATACONSUM,2013-02-01,2013-02-28,Tata Consumer Products Ltd.,100800
43,TATAMTRDVR,2013-02-01,2013-02-28,Tata Motors Ltd. - DVR Ordinary,217889
44,BATAINDIA,2013-02-01,2013-02-28,Bata India Ltd.,100043
45,MARUTI,2013-02-01,2013-02-28,Maruti Suzuki India Ltd.,132500
46,LT,2013-02-01,2013-02-28,Larsen & Toubro Ltd.,100510
47,SYNDIBANK,2013-02-01,2013-02-28,Syndicate Bank - (Amalgamated),132276
48,HCLTECH,2013-02-01,2013-02-28,HCL Technologies Ltd.,132281
49,INDUSINDBK,2013-02-01,2013-02-28,IndusInd Bank Ltd.,132187
50,TECHM,2013-02-01,2013-02-28,Tech Mahindra Ltd.,132755
51,ICICIBANK,2013-02-01,2013-02-28,ICICI Bank Ltd.,132174
52,RELCAPITAL,2013-02-01,2013-02-28,Reliance Capital Ltd.,100111
53,HAVELLS,2013-02-01,2013-02-28,Havells India Ltd.,117354
54,TITAN,2013-02-01,2013-02-28,Titan Company Ltd.,100114
55,ZEEL,2013-02-01,2013-02-28,Zee Entertainment Enterprises Ltd.,105537
56,HDIL,2013-02-01,2013-02-28,Housing Development And Infrastructure Ltd.,132873
57,JUBLFOOD,2013-02-01,2013-02-28,Jubilant FoodWorks Ltd.,215367
58,AXISBANK,2013-02-01,2013-02-28,Axis Bank Ltd.,132215
59,MCLEODRUSS,2013-02-01,2013-02-28,Mcleod Russel India Ltd.,132654
60,UNITDSPR,2013-03-01,2013-03-28,United Spirits Ltd.,132432
61,KTKBANK,2013-03-01,2013-03-28,The Karnataka Bank Ltd.,132652
62,DENABANK,2013-03-01,2013-03-28,Dena Bank - (Amalgamated),132121
63,AUROPHARMA,2013-03-01,2013-03-28,Aurobindo Pharma Ltd.,124804
64,MRF,2013-03-01,2013-03-28,MRF Ltd.,100290
65,OFSS,2013-03-01,2013-03-28,Oracle Financial Services Software Ltd.,132466
66,ASIANPAINT,2013-03-01,2013-03-28,Asian Paints Ltd.,100820
67,GODREJIND,2013-03-01,2013-03-28,Godrej Industries Ltd.,100164
68,ULTRACEMCO,2013-03-01,2013-03-28,Ultratech Cement Ltd.,132538
69,COLPAL,2013-03-01,2013-03-28,Colgate-Palmolive (India) Ltd.,100830
70,HDFCBANK,2013-03-01,2013-03-28,HDFC Bank Ltd.,100180
71,PTC,2013-03-01,2013-03-28,PTC India Ltd.,132524
72,TATACONSUM,2013-03-01,2013-03-28,Tata Consumer Products Ltd.,100800
73,TATAMTRDVR,2013-03-01,2013-03-28,Tata Motors Ltd. - DVR Ordinary,217889
74,BATAINDIA,2013-03-01,2013-03-28,Bata India Ltd.,100043
75,MARUTI,2013-03-01,2013-03-28,Maruti Suzuki India Ltd.,132500
76,LT,2013-03-01,2013-03-28,Larsen & Toubro Ltd.,100510
77,SYNDIBANK,2013-03-01,2013-03-28,Syndicate Bank - (Amalgamated),132276
78,HCLTECH,2013-03-01,2013-03-28,HCL Technologies Ltd.,132281
79,INDUSINDBK,2013-03-01,2013-03-28,IndusInd Bank Ltd.,132187
80,TECHM,2013-03-01,2013-03-28,Tech Mahindra Ltd.,132755
81,ICICIBANK,2013-03-01,2013-03-28,ICICI Bank Ltd.,132174
82,RELCAPITAL,2013-03-01,2013-03-28,Reliance Capital Ltd.,100111
83,HAVELLS,2013-03-01,2013-03-28,Havells India Ltd.,117354
84,TITAN,2013-03-01,2013-03-28,Titan Company Ltd.,100114
