,Symbol,Start,End,Company Name,Accord Code
85,ZEEL,2013-03-01,2013-03-28,Zee Entertainment Enterprises Ltd.,105537
86,HDIL,2013-03-01,2013-03-28,Housing Development And Infrastructure Ltd.,132873
87,JUBLFOOD,2013-03-01,2013-03-28,Jubilant FoodWorks Ltd.,215367
88,AXISBANK,2013-03-01,2013-03-28,Axis Bank Ltd.,132215
89,MCLEODRUSS,2013-03-01,2013-03-28,Mcleod Russel India Ltd.,132654
90,UNITDSPR,2013-03-29,2013-04-25,United Spirits Ltd.,132432
91,KTKBANK,2013-03-29,2013-04-25,The Karnataka Bank Ltd.,132652
92,DENABANK,2013-03-29,2013-04-25,Dena Bank - (Amalgamated),132121
93,AUROPHARMA,2013-03-29,2013-04-25,Aurobindo Pharma Ltd.,124804
94,MRF,2013-03-29,2013-04-25,MRF Ltd.,100290
95,OFSS,2013-03-29,2013-04-25,Oracle Financial Services Software Ltd.,132466
96,ASIANPAINT,2013-03-29,2013-04-25,Asian Paints Ltd.,100820
97,GODREJIND,2013-03-29,2013-04-25,Godrej Industries Ltd.,100164
98,ULTRACEMCO,2013-03-29,2013-04-25,Ultratech Cement Ltd.,132538
99,COLPAL,2013-03-29,2013-04-25,Colgate-Palmolive (India) Ltd.,100830
100,HDFCBANK,2013-03-29,2013-04-25,HDFC Bank Ltd.,100180
101,PTC,2013-03-29,2013-04-25,PTC India Ltd.,132524
102,TATACONSUM,2013-03-29,2013-04-25,Tata Consumer Products Ltd.,100800
103,TATAMTRDVR,2013-03-29,2013-04-25,Tata Motors Ltd. - DVR Ordinary,217889
104,BATAINDIA,2013-03-29,2013-04-25,Bata India Ltd.,100043
105,MARUTI,2013-03-29,2013-04-25,Maruti Suzuki India Ltd.,132500
106,LT,2013-03-29,2013-04-25,Larsen & Toubro Ltd.,100510
107,SYNDIBANK,2013-03-29,2013-04-25,Syndicate Bank - (Amalgamated),132276
108,HCLTECH,2013-03-29,2013-04-25,HCL Technologies Ltd.,132281
109,INDUSINDBK,2013-03-29,2013-04-25,IndusInd Bank Ltd.,132187
110,TECHM,2013-03-29,2013-04-25,Tech Mahindra Ltd.,132755
111,ICICIBANK,2013-03-29,2013-04-25,ICICI Bank Ltd.,132174
112,RELCAPITAL,2013-03-29,2013-04-25,Reliance Capital Ltd.,100111
113,HAVELLS,2013-03-29,2013-04-25,Havells India Ltd.,117354
114,TITAN,2013-03-29,2013-04-25,Titan Company Ltd.,100114
115,ZEEL,2013-03-29,2013-04-25,Zee Entertainment Enterprises Ltd.,105537
116,HDIL,2013-03-29,2013-04-25,Housing Development And Infrastructure Ltd.,132873
117,JUBLFOOD,2013-03-29,2013-04-25,Jubilant FoodWorks Ltd.,215367
118,AXISBANK,2013-03-29,2013-04-25,Axis Bank Ltd.,132215
119,MCLEODRUSS,2013-03-29,2013-04-25,Mcleod Russel India Ltd.,132654
120,UNITDSPR,2013-04-26,2013-05-30,United Spirits Ltd.,132432
121,KTKBANK,2013-04-26,2013-05-30,The Karnataka Bank Ltd.,132652
122,DENABANK,2013-04-26,2013-05-30,Dena Bank - (Amalgamated),132121
123,AUROPHARMA,2013-04-26,2013-05-30,Aurobindo Pharma Ltd.,124804
124,MRF,2013-04-26,2013-05-30,MRF Ltd.,100290
125,OFSS,2013-04-26,2013-05-30,Oracle Financial Services Software Ltd.,132466
126,ASIANPAINT,2013-04-26,2013-05-30,Asian Paints Ltd.,100820
127,GODREJIND,2013-04-26,2013-05-30,Godrej Industries Ltd.,100164
128,ULTRACEMCO,2013-04-26,2013-05-30,Ultratech Cement Ltd.,132538
129,COLPAL,2013-04-26,2013-05-30,Colgate-Palmolive (India) Ltd.,100830
130,HDFCBANK,2013-04-26,2013-05-30,HDFC Bank Ltd.,100180
131,PTC,2013-04-26,2013-05-30,PTC India Ltd.,132524
132,TATACONSUM,2013-04-26,2013-05-30,Tata Consumer Products Ltd.,100800
133,TATAMTRDVR,2013-04-26,2013-05-30,Tata Motors Ltd. - DVR Ordinary,217889
134,BATAINDIA,2013-04-26,2013-05-30,Bata India Ltd.,100043
135,MARUTI,2013-04-26,2013-05-30,Maruti Suzuki India Ltd.,132500
136,LT,2013-04-26,2013-05-30,Larsen & Toubro Ltd.,100510
137,SYNDIBANK,2013-04-26,2013-05-30,Syndicate Bank - (Amalgamated),132276
138,HCLTECH,2013-04-26,2013-05-30,HCL Technologies Ltd.,132281
139,INDUSINDBK,2013-04-26,2013-05-30,IndusInd Bank Ltd.,132187
140,TECHM,2013-04-26,2013-05-30,Tech Mahindra Ltd.,132755
141,ICICIBANK,2013-04-26,2013-05-30,ICICI Bank Ltd.,132174
142,RELCAPITAL,2013-04-26,2013-05-30,Reliance Capital Ltd.,100111
143,HAVELLS,2013-04-26,2013-05-30,Havells India Ltd.,117354
144,TITAN,2013-04-26,2013-05-30,Titan Company Ltd.,100114
145,ZEEL,2013-04-26,2013-05-30,Zee Entertainment Enterprises Ltd.,105537
146,HDIL,2013-04-26,2013-05-30,Housing Development And Infrastructure Ltd.,132873
147,JUBLFOOD,2013-04-26,2013-05-30,Jubilant FoodWorks Ltd.,215367
148,AXISBANK,2013-04-26,2013-05-30,Axis Bank Ltd.,132215
149,MCLEODRUSS,2013-04-26,2013-05-30,Mcleod Russel India Ltd.,132654
150,UNITDSPR,2013-05-31,2013-06-27,United Spirits Ltd.,132432
151,KTKBANK,2013-05-31,2013-06-27,The Karnataka Bank Ltd.,132652
152,DENABANK,2013-05-31,2013-06-27,Dena Bank - (Amalgamated),132121
153,AUROPHARMA,2013-05-31,2013-06-27,Aurobindo Pharma Ltd.,124804
154,MRF,2013-05-31,2013-06-27,MRF Ltd.,100290
155,OFSS,2013-05-31,2013-06-27,Oracle Financial Services Software Ltd.,132466
156,ASIANPAINT,2013-05-31,2013-06-27,Asian Paints Ltd.,100820
157,GODREJIND,2013-05-31,2013-06-27,Godrej Industries Ltd.,100164
158,ULTRACEMCO,2013-05-31,2013-06-27,Ultratech Cement Ltd.,132538
159,COLPAL,2013-05-31,2013-06-27,Colgate-Palmolive (India) Ltd.,100830
160,HDFCBANK,2013-05-31,2013-06-27,HDFC Bank Ltd.,100180
161,PTC,2013-05-31,2013-06-27,PTC India Ltd.,132524
162,TATACONSUM,2013-05-31,2013-06-27,Tata Consumer Products Ltd.,100800
163,TATAMTRDVR,2013-05-31,2013-06-27,Tata Motors Ltd. - DVR Ordinary,217889
164,BATAINDIA,2013-05-31,2013-06-27,Bata India Ltd.,100043
165,MARUTI,2013-05-31,2013-06-27,Maruti Suzuki India Ltd.,132500
166,LT,2013-05-31,2013-06-27,Larsen & Toubro Ltd.,100510
167,SYNDIBANK,2013-05-31,2013-06-27,Syndicate Bank - (Amalgamated),132276
168,HCLTECH,2013-05-31,2013-06-27,HCL Technologies Ltd.,132281
169,INDUSINDBK,2013-05-31,2013-06-27,IndusInd Bank Ltd.,132187
170,TECHM,2013-05-31,2013-06-27,Tech Mahindra Ltd.,132755
171,ICICIBANK,2013-05-31,2013-06-27,ICICI Bank Ltd.,132174
172,RELCAPITAL,2013-05-31,2013-06-27,Reliance Capital Ltd.,100111
173,HAVELLS,2013-05-31,2013-06-27,Havells India Ltd.,117354
174,TITAN,2013-05-31,2013-06-27,Titan Company Ltd.,100114
175,ZEEL,2013-05-31,2013-06-27,Zee Entertainment Enterprises Ltd.,105537
176,HDIL,2013-05-31,2013-06-27,Housing Development And Infrastructure Ltd.,132873
177,JUBLFOOD,2013-05-31,2013-06-27,Jubilant FoodWorks Ltd.,215367
178,AXISBANK,2013-05-31,2013-06-27,Axis Bank Ltd.,132215
179,MCLEODRUSS,2013-05-31,2013-06-27,Mcleod Russel India Ltd.,132654
180,UNITDSPR,2013-06-28,2013-07-25,United Spirits Ltd.,132432
181,HCLTECH,2013-06-28,2013-07-25,HCL Technologies Ltd.,132281
182,SUNPHARMA,2013-06-28,2013-07-25,Sun Pharmaceutical Industries Ltd.,124715
183,AUROPHARMA,2013-06-28,2013-07-25,Aurobindo Pharma Ltd.,124804
184,RCOM,2013-06-28,2013-07-25,Reliance Communications Ltd.,132712
185,TECHM,2013-06-28,2013-07-25,Tech Mahindra Ltd.,132755
186,ZEEL,2013-06-28,2013-07-25,Zee Entertainment Enterprises Ltd.,105537
187,LUPIN,2013-06-28,2013-07-25,Lupin Ltd.,100257
188,DABUR,2013-06-28,2013-07-25,Dabur India Ltd.,100096
189,IDEA,2013-06-28,2013-07-25,Vodafone Idea Ltd.,132822
190,DRREDDY,2013-06-28,2013-07-25,Dr. Reddy's Laboratories Ltd.,100124
191,M_M,2013-06-28,2013-07-25,Mahindra & Mahindra Ltd.,100520
192,MARUTI,2013-06-28,2013-07-25,Maruti Suzuki India Ltd.,132500
193,HINDUNILVR,2013-06-28,2013-07-25,Hindustan Unilever Ltd.,100696
194,ITC,2013-06-28,2013-07-25,ITC Ltd.,100875
195,MRF,2013-06-28,2013-07-25,MRF Ltd.,100290
196,ULTRACEMCO,2013-06-28,2013-07-25,Ultratech Cement Ltd.,132538
197,CIPLA,2013-06-28,2013-07-25,Cipla Ltd.,100087
198,INDUSINDBK,2013-06-28,2013-07-25,IndusInd Bank Ltd.,132187
199,ABIRLANUVO,2013-06-28,2013-07-25,Aditya Birla Nuvo Ltd. - (Amalgamated),100303
200,GODREJIND,2013-06-28,2013-07-25,Godrej Industries Ltd.,100164
201,AXISBANK,2013-06-28,2013-07-25,Axis Bank Ltd.,132215
202,BAJAJ_AUTO,2013-06-28,2013-07-25,Bajaj Auto Ltd.,200132
203,HAVELLS,2013-06-28,2013-07-25,Havells India Ltd.,117354
204,ASIANPAINT,2013-06-28,2013-07-25,Asian Paints Ltd.,100820
205,HDFCBANK,2013-06-28,2013-07-25,HDFC Bank Ltd.,100180
206,KOTAKBANK,2013-06-28,2013-07-25,Kotak Mahindra Bank Ltd.,100247
207,SRTRANSFIN,2013-06-28,2013-07-25,Shriram Finance Ltd.,111218
208,SUNTV,2013-06-28,2013-07-25,Sun TV Network Ltd.,132733
209,RELIANCE,2013-06-28,2013-07-25,Reliance Industries Ltd.,100325
210,UNITDSPR,2013-07-26,2013-08-29,United Spirits Ltd.,132432
211,HCLTECH,2013-07-26,2013-08-29,HCL Technologies Ltd.,132281
212,SUNPHARMA,2013-07-26,2013-08-29,Sun Pharmaceutical Industries Ltd.,124715
213,AUROPHARMA,2013-07-26,2013-08-29,Aurobindo Pharma Ltd.,124804
214,RCOM,2013-07-26,2013-08-29,Reliance Communications Ltd.,132712
215,TECHM,2013-07-26,2013-08-29,Tech Mahindra Ltd.,132755
216,ZEEL,2013-07-26,2013-08-29,Zee Entertainment Enterprises Ltd.,105537
217,LUPIN,2013-07-26,2013-08-29,Lupin Ltd.,100257
218,DABUR,2013-07-26,2013-08-29,Dabur India Ltd.,100096
219,IDEA,2013-07-26,2013-08-29,Vodafone Idea Ltd.,132822
220,DRREDDY,2013-07-26,2013-08-29,Dr. Reddy's Laboratories Ltd.,100124
221,M_M,2013-07-26,2013-08-29,Mahindra & Mahindra Ltd.,100520
222,MARUTI,2013-07-26,2013-08-29,Maruti Suzuki India Ltd.,132500
223,HINDUNILVR,2013-07-26,2013-08-29,Hindustan Unilever Ltd.,100696
224,ITC,2013-07-26,2013-08-29,ITC Ltd.,100875
225,MRF,2013-07-26,2013-08-29,MRF Ltd.,100290
226,ULTRACEMCO,2013-07-26,2013-08-29,Ultratech Cement Ltd.,132538
227,CIPLA,2013-07-26,2013-08-29,Cipla Ltd.,100087
228,INDUSINDBK,2013-07-26,2013-08-29,IndusInd Bank Ltd.,132187
229,ABIRLANUVO,2013-07-26,2013-08-29,Aditya Birla Nuvo Ltd. - (Amalgamated),100303
230,GODREJIND,2013-07-26,2013-08-29,Godrej Industries Ltd.,100164
231,AXISBANK,2013-07-26,2013-08-29,Axis Bank Ltd.,132215
232,BAJAJ_AUTO,2013-07-26,2013-08-29,Bajaj Auto Ltd.,200132
233,HAVELLS,2013-07-26,2013-08-29,Havells India Ltd.,117354
234,ASIANPAINT,2013-07-26,2013-08-29,Asian Paints Ltd.,100820
235,HDFCBANK,2013-07-26,2013-08-29,HDFC Bank Ltd.,100180
236,KOTAKBANK,2013-07-26,2013-08-29,Kotak Mahindra Bank Ltd.,100247
237,SRTRANSFIN,2013-07-26,2013-08-29,Shriram Finance Ltd.,111218
238,SUNTV,2013-07-26,2013-08-29,Sun TV Network Ltd.,132733
239,RELIANCE,2013-07-26,2013-08-29,Reliance Industries Ltd.,100325
240,UNITDSPR,2013-08-30,2013-09-26,United Spirits Ltd.,132432
241,HCLTECH,2013-08-30,2013-09-26,HCL Technologies Ltd.,132281
242,SUNPHARMA,2013-08-30,2013-09-26,Sun Pharmaceutical Industries Ltd.,124715
243,AUROPHARMA,2013-08-30,2013-09-26,Aurobindo Pharma Ltd.,124804
244,RCOM,2013-08-30,2013-09-26,Reliance Communications Ltd.,132712
245,TECHM,2013-08-30,2013-09-26,Tech Mahindra Ltd.,132755
246,ZEEL,2013-08-30,2013-09-26,Zee Entertainment Enterprises Ltd.,105537
247,LUPIN,2013-08-30,2013-09-26,Lupin Ltd.,100257
248,DABUR,2013-08-30,2013-09-26,Dabur India Ltd.,100096
249,IDEA,2013-08-30,2013-09-26,Vodafone Idea Ltd.,132822
250,DRREDDY,2013-08-30,2013-09-26,Dr. Reddy's Laboratories Ltd.,100124
251,M_M,2013-08-30,2013-09-26,Mahindra & Mahindra Ltd.,100520
252,MARUTI,2013-08-30,2013-09-26,Maruti Suzuki India Ltd.,132500
253,HINDUNILVR,2013-08-30,2013-09-26,Hindustan Unilever Ltd.,100696
254,ITC,2013-08-30,2013-09-26,ITC Ltd.,100875
255,MRF,2013-08-30,2013-09-26,MRF Ltd.,100290
256,ULTRACEMCO,2013-08-30,2013-09-26,Ultratech Cement Ltd.,132538
257,CIPLA,2013-08-30,2013-09-26,Cipla Ltd.,100087
258,INDUSINDBK,2013-08-30,2013-09-26,IndusInd Bank Ltd.,132187
259,ABIRLANUVO,2013-08-30,2013-09-26,Aditya Birla Nuvo Ltd. - (Amalgamated),100303
260,GODREJIND,2013-08-30,2013-09-26,Godrej Industries Ltd.,100164
261,AXISBANK,2013-08-30,2013-09-26,Axis Bank Ltd.,132215
262,BAJAJ_AUTO,2013-08-30,2013-09-26,Bajaj Auto Ltd.,200132
263,HAVELLS,2013-08-30,2013-09-26,Havells India Ltd.,117354
264,ASIANPAINT,2013-08-30,2013-09-26,Asian Paints Ltd.,100820
265,HDFCBANK,2013-08-30,2013-09-26,HDFC Bank Ltd.,100180
266,KOTAKBANK,2013-08-30,2013-09-26,Kotak Mahindra Bank Ltd.,100247
267,SRTRANSFIN,2013-08-30,2013-09-26,Shriram Finance Ltd.,111218
268,SUNTV,2013-08-30,2013-09-26,Sun TV Network Ltd.,132733
269,RELIANCE,2013-08-30,2013-09-26,Reliance Industries Ltd.,100325
270,UNITDSPR,2013-09-27,2013-10-31,United Spirits Ltd.,132432
271,HCLTECH,2013-09-27,2013-10-31,HCL Technologies Ltd.,132281
272,SUNPHARMA,2013-09-27,2013-10-31,Sun Pharmaceutical Industries Ltd.,124715
273,AUROPHARMA,2013-09-27,2013-10-31,Aurobindo Pharma Ltd.,124804
274,RCOM,2013-09-27,2013-10-31,Reliance Communications Ltd.,132712
275,TECHM,2013-09-27,2013-10-31,Tech Mahindra Ltd.,132755
276,ZEEL,2013-09-27,2013-10-31,Zee Entertainment Enterprises Ltd.,105537
277,LUPIN,2013-09-27,2013-10-31,Lupin Ltd.,100257
278,DABUR,2013-09-27,2013-10-31,Dabur India Ltd.,100096
279,IDEA,2013-09-27,2013-10-31,Vodafone Idea Ltd.,132822
280,DRREDDY,2013-09-27,2013-10-31,Dr. Reddy's Laboratories Ltd.,100124
281,M_M,2013-09-27,2013-10-31,Mahindra & Mahindra Ltd.,100520
282,MARUTI,2013-09-27,2013-10-31,Maruti Suzuki India Ltd.,132500
283,HINDUNILVR,2013-09-27,2013-10-31,Hindustan Unilever Ltd.,100696
284,ITC,2013-09-27,2013-10-31,ITC Ltd.,100875
285,MRF,2013-09-27,2013-10-31,MRF Ltd.,100290
286,ULTRACEMCO,2013-09-27,2013-10-31,Ultratech Cement Ltd.,132538
287,CIPLA,2013-09-27,2013-10-31,Cipla Ltd.,100087
288,INDUSINDBK,2013-09-27,2013-10-31,IndusInd Bank Ltd.,132187
289,ABIRLANUVO,2013-09-27,2013-10-31,Aditya Birla Nuvo Ltd. - (Amalgamated),100303
290,GODREJIND,2013-09-27,2013-10-31,Godrej Industries Ltd.,100164
291,AXISBANK,2013-09-27,2013-10-31,Axis Bank Ltd.,132215
292,BAJAJ_AUTO,2013-09-27,2013-10-31,Bajaj Auto Ltd.,200132
293,HAVELLS,2013-09-27,2013-10-31,Havells India Ltd.,117354
294,ASIANPAINT,2013-09-27,2013-10-31,Asian Paints Ltd.,100820
295,HDFCBANK,2013-09-27,2013-10-31,HDFC Bank Ltd.,100180
296,KOTAKBANK,2013-09-27,2013-10-31,Kotak Mahindra Bank Ltd.,100247
297,SRTRANSFIN,2013-09-27,2013-10-31,Shriram Finance Ltd.,111218
298,SUNTV,2013-09-27,2013-10-31,Sun TV Network Ltd.,132733
299,RELIANCE,2013-09-27,2013-10-31,Reliance Industries Ltd.,100325
300,UNITDSPR,2013-11-01,2013-11-28,United Spirits Ltd.,132432
301,HCLTECH,2013-11-01,2013-11-28,HCL Technologies Ltd.,132281
302,SUNPHARMA,2013-11-01,2013-11-28,Sun Pharmaceutical Industries Ltd.,124715
303,AUROPHARMA,2013-11-01,2013-11-28,Aurobindo Pharma Ltd.,124804
304,RCOM,2013-11-01,2013-11-28,Reliance Communications Ltd.,132712
305,TECHM,2013-11-01,2013-11-28,Tech Mahindra Ltd.,132755
306,ZEEL,2013-11-01,2013-11-28,Zee Entertainment Enterprises Ltd.,105537
307,LUPIN,2013-11-01,2013-11-28,Lupin Ltd.,100257
308,DABUR,2013-11-01,2013-11-28,Dabur India Ltd.,100096
309,IDEA,2013-11-01,2013-11-28,Vodafone Idea Ltd.,132822
310,DRREDDY,2013-11-01,2013-11-28,Dr. Reddy's Laboratories Ltd.,100124
311,M_M,2013-11-01,2013-11-28,Mahindra & Mahindra Ltd.,100520
312,MARUTI,2013-11-01,2013-11-28,Maruti Suzuki India Ltd.,132500
313,HINDUNILVR,2013-11-01,2013-11-28,Hindustan Unilever Ltd.,100696
314,ITC,2013-11-01,2013-11-28,ITC Ltd.,100875
315,MRF,2013-11-01,2013-11-28,MRF Ltd.,100290
316,ULTRACEMCO,2013-11-01,2013-11-28,Ultratech Cement Ltd.,132538
317,CIPLA,2013-11-01,2013-11-28,Cipla Ltd.,100087
318,INDUSINDBK,2013-11-01,2013-11-28,IndusInd Bank Ltd.,132187
319,ABIRLANUVO,2013-11-01,2013-11-28,Aditya Birla Nuvo Ltd. - (Amalgamated),100303
320,GODREJIND,2013-11-01,2013-11-28,Godrej Industries Ltd.,100164
321,AXISBANK,2013-11-01,2013-11-28,Axis Bank Ltd.,132215
322,BAJAJ_AUTO,2013-11-01,2013-11-28,Bajaj Auto Ltd.,200132
323,HAVELLS,2013-11-01,2013-11-28,Havells India Ltd.,117354
324,ASIANPAINT,2013-11-01,2013-11-28,Asian Paints Ltd.,100820
325,HDFCBANK,2013-11-01,2013-11-28,HDFC Bank Ltd.,100180
326,KOTAKBANK,2013-11-01,2013-11-28,Kotak Mahindra Bank Ltd.,100247
327,SRTRANSFIN,2013-11-01,2013-11-28,Shriram Finance Ltd.,111218
328,SUNTV,2013-11-01,2013-11-28,Sun TV Network Ltd.,132733
329,RELIANCE,2013-11-01,2013-11-28,Reliance Industries Ltd.,100325
330,UNITDSPR,2013-11-29,2013-12-26,United Spirits Ltd.,132432
331,HCLTECH,2013-11-29,2013-12-26,HCL Technologies Ltd.,132281
332,SUNPHARMA,2013-11-29,2013-12-26,Sun Pharmaceutical Industries Ltd.,124715
333,AUROPHARMA,2013-11-29,2013-12-26,Aurobindo Pharma Ltd.,124804
334,RCOM,2013-11-29,2013-12-26,Reliance Communications Ltd.,132712
335,TECHM,2013-11-29,2013-12-26,Tech Mahindra Ltd.,132755
336,ZEEL,2013-11-29,2013-12-26,Zee Entertainment Enterprises Ltd.,105537
337,LUPIN,2013-11-29,2013-12-26,Lupin Ltd.,100257
338,DABUR,2013-11-29,2013-12-26,Dabur India Ltd.,100096
339,IDEA,2013-11-29,2013-12-26,Vodafone Idea Ltd.,132822
340,DRREDDY,2013-11-29,2013-12-26,Dr. Reddy's Laboratories Ltd.,100124
341,M_M,2013-11-29,2013-12-26,Mahindra & Mahindra Ltd.,100520
342,MARUTI,2013-11-29,2013-12-26,Maruti Suzuki India Ltd.,132500
343,HINDUNILVR,2013-11-29,2013-12-26,Hindustan Unilever Ltd.,100696
344,ITC,2013-11-29,2013-12-26,ITC Ltd.,100875
345,MRF,2013-11-29,2013-12-26,MRF Ltd.,100290
