,Date,Start Value,Stock Start Price,Stock Close Price,Close Symbol,Close Value,Close Qty,Balance
0,2013_1 ,333005.67,379.71,360.88,UNITDSPR,316491.76,877,9679.999999999418
1,2013_1 ,333222.5555939636,124.105234858087,121.994853477743,KTKBANK,327556.18158773996,2685,9679.999999999418
2,2013_1 ,333324.9,114.9,111.05,DENABANK,322156.05,2901,9679.999999999418
3,2013_1 ,333311.4,95.45,93.7,AUROPHARMA,327200.4,3492,9679.999999999418
4,2013_1 ,330063.5,12694.75,13138.85,MRF,341610.1,26,9679.999999999418
5,2013_1 ,331264.85,3279.85,3193.55,OFSS,322548.55,101,9679.999999999418
6,2013_1 ,333118.26,439.47,450.115,ASIANPAINT,341187.17,758,9679.999999999418
7,2013_1 ,333269.7841726616,312.05035971223,304.006794564349,GODREJIND,324679.2565947247,1068,9679.999999999418
8,2013_1 ,333225.75,1971.75,1902.55,ULTRACEMCO,321530.95,169,9679.999999999418
9,2013_1 ,332974.8,770.775,675.05,COLPAL,291621.6,432,9679.999999999418
10,2013_1 ,333064.975,338.825,321.525,HDFCBANK,316059.07499999995,983,9679.999999999418
11,2013_1 ,333295.1,73.3,76.4,PTC,347390.8,4547,9679.999999999418
12,2013_1 ,333254.64999999997,160.45,149.35,TATACONSUM,310199.95,2077,9679.999999999418
13,2013_1 ,333167.21647685237,170.418013543147,164.727516575243,TATAMTRDVR,322042.2949046,1955,9679.999999999418
14,2013_1 ,333294.5,432.85,393.65,BATAINDIA,303110.49999999994,770,9679.999999999418
15,2013_1 ,333088.80000000005,1500.4,1581.6,MARUTI,351115.2,222,9679.999999999418
16,2013_1 ,332629.73333333345,719.977777777778,685.266666666667,LT,316593.2000000002,462,9679.999999999418
17,2013_1 ,333309.75,127.95,134.5,SYNDIBANK,350372.5,2605,9679.999999999418
18,2013_1 ,333191.6,156.575,172.0,HCLTECH,366015.99999999994,2128,9679.999999999418
19,2013_1 ,333245.0,415.0,435.8,INDUSINDBK,349947.39999999997,803,9679.999999999418
20,2013_1 ,333311.5,230.1875,249.7375,TECHM,361619.9,1448,9679.999999999418
21,2013_1 ,333332.5999999993,207.554545454545,216.572727272727,ICICIBANK,347815.7999999996,1606,9679.999999999418
22,2013_1 ,332896.8,478.3,475.1,RELCAPITAL,330669.60000000003,696,9679.999999999418
23,2013_1 ,333212.83999999997,127.57,131.66,HAVELLS,343895.9199999999,2612,9679.999999999418
24,2013_1 ,333162.75,281.15,279.35,TITAN,331029.75000000006,1185,9679.999999999418
25,2013_1 ,333292.6,219.85,230.1,ZEEL,348831.6,1516,9679.999999999418
26,2013_1 ,333258.45,109.95,76.7,HDIL,232477.69999999998,3031,9679.999999999418
27,2013_1 ,333250.68,129.72,120.06,JUBLFOOD,308434.14,2569,9679.999999999418
28,2013_1 ,333089.75000000006,271.91,301.03,AXISBANK,368761.75,1225,9679.999999999418
29,2013_1 ,333207.0,352.6,362.0,MCLEODRUSS,342090.0,945,9679.999999999418
30,2013_2 ,327164.85000000003,373.05,368.02,UNITDSPR,322753.54,877,9679.999999999418
31,2013_2 ,323082.7284249331,120.328762914314,103.593808810539,KTKBANK,278149.37665629725,2685,9679.999999999418
32,2013_2 ,311857.5,107.5,88.7,DENABANK,257318.7,2901,9679.999999999418
33,2013_2 ,335232.0,96.0,80.45,AUROPHARMA,280931.4,3492,9679.999999999418
34,2013_2 ,343738.2,13220.7,11427.75,MRF,297121.5,26,9679.999999999418
35,2013_2 ,317826.80000000005,3146.8,2811.95,OFSS,284006.95,101,9679.999999999418
36,2013_2 ,344325.29,454.255,427.22,ASIANPAINT,323832.76,758,9679.999999999418
37,2013_2 ,323398.6810551554,302.807753796962,270.383693045564,GODREJIND,288769.7841726623,1068,9679.999999999418
38,2013_2 ,310579.75,1837.75,1868.05,ULTRACEMCO,315700.45,169,9679.999999999418
39,2013_2 ,290433.6,672.3,636.1,COLPAL,274795.2,432,9679.999999999418
40,2013_2 ,314633.725,320.075,312.675,HDFCBANK,307359.525,983,9679.999999999418
41,2013_2 ,336478.0,74.0,65.4,PTC,297373.80000000005,4547,9679.999999999418
42,2013_2 ,304903.60000000003,146.8,125.2,TATACONSUM,260040.40000000002,2077,9679.999999999418
43,2013_2 ,318656.4492086972,162.995626193707,157.255646643473,TATAMTRDVR,307434.78918798966,1955,9679.999999999418
44,2013_2 ,301859.25,392.025,373.775,BATAINDIA,287806.75,770,9679.999999999418
45,2013_2 ,357353.4,1609.7,1354.35,MARUTI,300665.7,222,9679.999999999418
46,2013_2 ,314847.86666666676,681.488888888889,607.911111111111,LT,280854.93333333335,462,9679.999999999418
47,2013_2 ,348809.5,133.9,116.8,SYNDIBANK,304263.99999999994,2605,9679.999999999418
48,2013_2 ,365989.4,171.9875,180.85,HCLTECH,384848.8,2128,9679.999999999418
49,2013_2 ,351954.9,438.3,412.0,INDUSINDBK,330836.0,803,9679.999999999418
50,2013_2 ,363737.6,251.2,262.7625,TECHM,380480.1,1448,9679.999999999418
51,2013_2 ,341975.80000000057,212.936363636364,189.163636363636,ICICIBANK,303796.7999999994,1606,9679.999999999418
52,2013_2 ,330634.8,475.05,360.7,RELCAPITAL,251047.19999999998,696,9679.999999999418
53,2013_2 ,341701.83999999997,130.82,127.58,HAVELLS,333238.96,2612,9679.999999999418
54,2013_2 ,339561.75,286.55,260.9,TITAN,309166.49999999994,1185,9679.999999999418
55,2013_2 ,350726.6,231.35,218.0,ZEEL,330488.0,1516,9679.999999999418
56,2013_2 ,236418.0,78.0,60.35,HDIL,182920.85,3031,9679.999999999418
57,2013_2 ,308267.155,119.995,104.68,JUBLFOOD,268922.92000000004,2569,9679.999999999418
58,2013_2 ,369864.25,301.93,268.83,AXISBANK,329316.74999999994,1225,9679.999999999418
59,2013_2 ,336703.5,356.3,356.35,MCLEODRUSS,336750.75,945,9679.999999999418
60,2013_3 ,329436.27999999997,375.64,379.83,UNITDSPR,333110.9099999999,877,9679.999999999418
61,2013_3 ,270594.2113146675,100.779966970081,96.8183738525944,KTKBANK,259957.33379421596,2685,9679.999999999418
62,2013_3 ,261090.0,90.0,89.5,DENABANK,259639.5,2901,9679.999999999418
63,2013_3 ,280145.69999999995,80.225,72.975,AUROPHARMA,254828.69999999995,3492,9679.999999999418
64,2013_3 ,300890.2,11572.7,11971.8,MRF,311266.8,26,9679.999999999418
65,2013_3 ,292031.4,2891.4,2560.3,OFSS,258590.30000000005,101,9679.999999999418
66,2013_3 ,330419.78,435.91,491.725,ASIANPAINT,372727.55,758,9679.999999999418
67,2013_3 ,292131.2949640287,273.531175059952,293.864908073541,GODREJIND,313847.7218225418,1068,9679.999999999418
68,2013_3 ,318835.39999999997,1886.6,1868.95,ULTRACEMCO,315852.55,169,9679.999999999418
69,2013_3 ,282009.6,652.8,620.825,COLPAL,268196.4,432,9679.999999999418
70,2013_3 ,305958.75,311.25,312.675,HDFCBANK,307359.525,983,9679.999999999418
71,2013_3 ,295327.65,64.95,59.95,PTC,272592.65,4547,9679.999999999418
72,2013_3 ,265752.15,127.95,127.85,TATACONSUM,265544.45,2077,9679.999999999418
73,2013_3 ,310433.6810900759,158.789606695691,151.169289016932,TATAMTRDVR,295535.96002810204,1955,9679.999999999418
74,2013_3 ,291079.25,378.025,359.175,BATAINDIA,276564.75,770,9679.999999999418
75,2013_3 ,316216.80000000005,1424.4,1281.2,MARUTI,284426.4,222,9679.999999999418
